country,country_code,year,gini_pre_tax,gini_post_tax
Australia,AUS,1989,0.431,0.304
Australia,AUS,1995,0.47,0.311
Australia,AUS,2001,0.481,0.32
Australia,AUS,2003,0.469,0.316
Australia,AUS,2004,0.467,0.316
Australia,AUS,2008,0.469,0.335
Australia,AUS,2010,0.47,0.333
Australia,AUS,2014,0.481,0.329
Australia,AUS,2016,0.467,0.326
Australia,AUS,2018,0.469,0.329
Australia,AUS,2020,0.459,0.325
Austria,AUT,2003,0.451,0.265
Austria,AUT,2004,0.456,0.268
Austria,AUT,2005,0.462,0.26
Austria,AUT,2006,0.477,0.268
Austria,AUT,2007,0.486,0.284
Austria,AUT,2008,0.49,0.28
Austria,AUT,2009,0.506,0.289
Austria,AUT,2010,0.498,0.28
Austria,AUT,2011,0.496,0.282
Austria,AUT,2012,0.495,0.277
Austria,AUT,2013,0.497,0.28
Austria,AUT,2014,0.495,0.275
Austria,AUT,2015,0.497,0.276
Austria,AUT,2016,0.503,0.285
Austria,AUT,2017,0.488,0.277
Austria,AUT,2018,0.497,0.28
Austria,AUT,2019,0.491,0.274
Austria,AUT,2020,0.497,0.272
Austria,AUT,2021,0.497,0.281
Austria,AUT,2022,0.494,0.287
Belgium,BEL,1992,0.456,0.228
Belgium,BEL,1997,0.483,0.251
Belgium,BEL,2003,0.485,0.261
Belgium,BEL,2004,0.502,0.271
Belgium,BEL,2005,0.49,0.27
Belgium,BEL,2006,0.482,0.272
Belgium,BEL,2007,0.483,0.275
Belgium,BEL,2008,0.472,0.262
Belgium,BEL,2009,0.479,0.267
Belgium,BEL,2010,0.487,0.263
Belgium,BEL,2011,0.49,0.268
Belgium,BEL,2012,0.485,0.266
Belgium,BEL,2013,0.493,0.264
Belgium,BEL,2014,0.497,0.262
Belgium,BEL,2015,0.5,0.266
Belgium,BEL,2016,0.5,0.265
Belgium,BEL,2017,0.487,0.26
Belgium,BEL,2018,0.493,0.258
Belgium,BEL,2019,0.492,0.262
Belgium,BEL,2020,0.495,0.247
Belgium,BEL,2021,0.486,0.255
Brazil,BRA,1992,0.59,0.54
Brazil,BRA,1993,0.615,0.562
Brazil,BRA,1995,0.617,0.568
Brazil,BRA,1996,0.615,0.564
Brazil,BRA,1997,0.614,0.561
Brazil,BRA,1998,0.614,0.557
Brazil,BRA,1999,0.609,0.549
Brazil,BRA,2001,0.609,0.536
Brazil,BRA,2002,0.603,0.529
Brazil,BRA,2003,0.599,0.52
Brazil,BRA,2004,0.594,0.513
Brazil,BRA,2005,0.584,0.501
Brazil,BRA,2006,0.581,0.493
Brazil,BRA,2007,0.577,0.484
Brazil,BRA,2008,0.566,0.477
